NAME : E241-22k
"Demention",241
"Vehicle Capacity",200
n,    x,                y,             q 
0,    0,                0,             0
1,    5.7735,           0,             40
2,    2.8867,           5,             40
3,    -2.8868,          5,             40
4,    -5.7735,          0,             40
5,    -2.8867,          -5,            40
6,    2.8868,           -5,            40
7,    8.6603,           5,             40
8,    0,                10,            40
9,    -8.6603,          5,             40
10,   -8.6603,          -5,            40
11,   0,                -10,           40
12,   8.6603,           -5,            40
13,   5.3405,           .75,           10
14,   3.3198,           4.25,          10
15,   6.4952,           -1.25,         10
16,   7.2169,           -2.5,          20
17,   7.9386,           -3.75,         10
18,   6.4952,           1.25,          10
19,   7.2169,           2.5,           20
20,   7.9386,           3.75,          10
21,   2.0207,           5,             10
22,   -2.0207,          5,             10
23,   4.3301,           5,             10
24,   5.7735,           5,             20
25,   7.2169,           5,             10
26,   2.1651,           6.25,          10
27,   1.4434,           7.5,           20
28,   .7217,            8.75,          10
29,   -3.3198,          4.25,          10
30,   -5.3405,          .75,           10
31,   -2.1651,          6.25,          10
32,   -1.4434,          7.5,           20
33,   -.7217,           8.75,          10
34,   -4.3301,          5,             10
35,   -5.7735,          5,             20
36,   -7.2169,          5,             10
37,   -5.3405,          -.75,          10
38,   -3.3198,          -4.25,         10
39,   -6.4952,          1.25,          10
40,   -7.2169,          2.5,           20
41,   -7.9386,          3.75,          10
42,   -6.4952,          -1.25,         10
43,   -7.2169,          -2.5,          20
44,   -7.9386,          -3.75,         10
45,   -2.0207,          -5,            10
46,   2.0207,           -5,            10
47,   -4.3301,          -5,            10
48,   -5.7735,          -5,            20
49,   -7.2169,          -5,            10
50,   -2.1651,          -6.25,         10
51,   -1.4434,          -7.5,          20
52,   -.7217,           -8.75,         10
53,   3.3198,           -4.25,         10
54,   5.3405,           -.75,          10
55,   2.1651,           -6.25,         10
56,   1.4434,           -7.5,          20
57,   .7217,            -8.75,         10
58,   4.3301,           -5,            10
59,   5.7735,           -5,            20
60,   7.2169,           -5,            10
61,   7.2169,           0,             40
62,   3.6084,           6.25,          40
63,   -3.6084,          6.25,          40
64,   -7.2169,          0,             40
65,   -3.6084,          -6.25,         40
66,   3.6084,           -6.25,         40
67,   10.8253,          6.25,          40
68,   0,                12.5,          40
69,   -10.8253,         6.25,          40
70,   -10.8253,         -6.25,         40
71,   0,                -12.5,         40
72,   10.8253,          -6.25,         40
73,   6.6756,           .9375,         10
74,   4.1497,           5.3125,        10
75,   8.119,            -1.5625,       10
76,   9.0211,           -3.125,        20
77,   9.9232,           -4.6875,       10
78,   8.119,            1.5625,        10
79,   9.0211,           3.125,         20
80,   9.9232,           4.6875,        10
81,   2.5259,           6.25,          10
82,   -2.5259,          6.25,          10
83,   5.4127,           6.25,          10
